unique_id	birth_year	status	fitness_class	sex	SNPed	beach	picogreen_concentration	plate_number	plate_location	tissue_id	tissue_id_alt1
ID_11085	2019	BeachDead	NonRecruited	F	FALSE	SSB	NA	127	NA	AGP19276	NA
ID_11138	2019	NonRecruited	NonRecruited	F	FALSE	SSB	NA	128	NA	AGP19329	NA
ID_8064	2018	NonRecruited	NonRecruited	F	TRUE	SSB	124.7	96	NA	AGP18020	NA
ID_8122	2018	BeachDead	NonRecruited	F	TRUE	SSB	130.1	96	NA	AGP18182	NA
ID_11793	2017	BeachDead	NonRecruited	F	FALSE	SSB	NA	135	NA	AGP17190	NA
ID_8344	2017	NonRecruited	NonRecruited	F	FALSE	SSB	NA	97	NA	AGP17327	NA
ID_8525	2017	Recruited	Recruited	F	FALSE	SSB	NA	99	NA	AGP17421	NA
ID_13170	2016	Recruited	Recruited	F	FALSE	SSB	NA	150	NA	AGP16121	NA
ID_13271	2016	BeachDead	NonRecruited	F	FALSE	SSB	NA	151	NA	AGP16235	NA
ID_13318	2016	NonRecruited	NonRecruited	F	FALSE	SSB	NA	151	NA	AGP16283	NA
ID_13014	2015	NonRecruited	NonRecruited	F	FALSE	SSB	NA	148	NA	AGP15345	NA
ID_13057	2015	BeachDead	NonRecruited	F	FALSE	SSB	NA	149	NA	AGP15388	NA
ID_10121	2014	BeachDead	NonRecruited	F	FALSE	SSB	76.8	116	NA	AGP14092	NA
ID_10603	2014	NonRecruited	NonRecruited	F	FALSE	SSB	NA	122	NA	AGP14412	NA
ID_10644	2014	Recruited	Recruited	F	FALSE	SSB	NA	122	NA	AGP14453	NA
ID_10000	2013	BeachDead	NonRecruited	F	FALSE	SSB	NA	115	NA	AGP13150	NA
ID_10042	2013	Recruited	Recruited	F	FALSE	SSB	NA	115	NA	AGP13192	NA
ID_9892	2013	NonRecruited	NonRecruited	F	FALSE	SSB	NA	114	NA	AGP13041	NA
ID_9325	2012	Recruited	Recruited	F	FALSE	SSB	NA	108	NA	AGP12149	NA
ID_9395	2012	NonRecruited	NonRecruited	F	FALSE	SSB	NA	108	NA	AGP12219	NA
ID_9451	2012	BeachDead	NonRecruited	F	FALSE	SSB	NA	109	NA	AGP12277	NA
ID_5170	2011	Recruited	Recruited	F	TRUE	SSB	78.7	57	5H	AGP11171	NA
ID_6910	2011	NonRecruited	NonRecruited	F	TRUE	SSB	63.9	79	9C	AGP11163	NA
ID_6931	2011	BeachDead	NonRecruited	F	TRUE	SSB	91.5	79	9E	AGP11196	NA
ID_4984	2010	NonRecruited	NonRecruited	F	TRUE	SSB	242.6	54	8H	AGP10152	NA
ID_4989	2010	BeachDead	NonRecruited	F	TRUE	SSB	179.6	54	9E	AGP10169	NA
ID_7183	2010	Recruited	Recruited	F	TRUE	SSB	172.3	82	12E	AGP10325	NA
ID_11518	2009	BeachDead	NonRecruited	F	FALSE	SSB	NA	132	NA	AGP09185	NA
ID_6801	2009	Recruited	Recruited	F	TRUE	SSB	109.5	77	7H	AGP09063	NA
ID_8191	2009	NonRecruited	NonRecruited	F	TRUE	SSB	74.7	95	NA	AGP09153	NA
ID_4830	2008	BeachDead	NonRecruited	F	TRUE	SSB	52.2	51	10C	AGP08235	NA
ID_6974	2008	Recruited	Recruited	F	TRUE	SSB	173.8	80	10A	AGF12002	NA
ID_8176	2008	NonRecruited	NonRecruited	F	TRUE	SSB	89.2	95	NA	AGP08335	NA
ID_4814	2007	BeachDead	NonRecruited	F	TRUE	SSB	109.7	51	8C	AGP07093	NA
ID_6782	2007	Recruited	Recruited	F	TRUE	SSB	45.4	77	4F	AGP07366	NA
ID_8167	2007	NonRecruited	NonRecruited	F	TRUE	SSB	192.6	95	NA	AGP07481	NA
ID_4023	2006	BeachDead	NonRecruited	F	TRUE	SSB	109.1	41	2C	AGP06161	NA
ID_4031	2006	NonRecruited	NonRecruited	F	TRUE	SSB	104.8	41	3F	AGP06184	NA
ID_4755	2006	Recruited	Recruited	F	TRUE	SSB	180	50	3H	AGF09012	NA
ID_4819	2005	BeachDead	NonRecruited	F	TRUE	SSB	160.4	51	8H	AGP05161	NA
ID_6753	2005	Recruited	Recruited	F	TRUE	SSB	122.6	77	8C	AGP05320	NA
ID_7470	2005	NonRecruited	NonRecruited	F	TRUE	SSB	132.1	87	6D	AGP05191	NA
ID_3502	2004	BeachDead	NonRecruited	F	TRUE	SSB	111.5	34	12A	AGP04301	NA
ID_4858	2004	Recruited	Recruited	F	TRUE	SSB	148.8	52	8D	AGF10012	NA
ID_7253	2004	NonRecruited	NonRecruited	F	TRUE	SSB	104.9	85	9A	AGP04018	NA
ID_3029	2003	BeachDead	NonRecruited	F	TRUE	SSB	290.6	29	9C	AGP03040	NA
ID_3053	2003	NonRecruited	NonRecruited	F	TRUE	SSB	148.9	29	12C	AGP03065	NA
ID_6408	2003	Recruited	Recruited	F	TRUE	SSB	105.8	71	12H	AGF14017	NA
ID_2641	2002	Recruited	Recruited	F	TRUE	SSB	221.9	25	7B	AGP02046	NA
ID_2674	2002	NonRecruited	NonRecruited	F	TRUE	SSB	196	25	11D	AGP02080	NA
ID_2679	2002	BeachDead	NonRecruited	F	TRUE	SSB	135.4	25	12A	AGP02085	NA
ID_2366	2001	NonRecruited	NonRecruited	F	TRUE	SSB	180.3	20	3F	AGP01018	NA
ID_2431	2001	BeachDead	NonRecruited	F	TRUE	SSB	138.5	20	12C	AGP01083	NA
ID_3703	2001	Recruited	Recruited	F	TRUE	SSB	84	37	1H	AGF05008	NA
ID_1843	2000	NonRecruited	NonRecruited	F	TRUE	SSB	107.7	13	2F	AGP00017	NA
ID_1948	2000	BeachDead	NonRecruited	F	TRUE	SSB	57.9	14	7A	AGP00140	NA
ID_3337	2000	Recruited	Recruited	F	TRUE	SSB	57.8	33	2F	AGF04014	NA
ID_1516	1999	BeachDead	NonRecruited	F	FALSE	SSB	NA	9	1D	AGP99038	NA
ID_1547	1999	NonRecruited	NonRecruited	F	TRUE	SSB	47.8	9	5G	AGP99069	NA
ID_3332	1999	Recruited	Recruited	F	TRUE	SSB	129.8	33	2A	AGF04009	NA
ID_1384	1998	BeachDead	NonRecruited	F	TRUE	SSB	144.1	6	7B	AGP98013	NA
ID_1421	1998	NonRecruited	NonRecruited	F	FALSE	SSB	NA	6	12C	AGP98050	NA
ID_4863	1998	Recruited	Recruited	F	TRUE	SSB	133.9	52	9A	AGF10017	NA
ID_1251	1997	NonRecruited	NonRecruited	F	TRUE	SSB	35.2	5	1B	AGP97053	NA
ID_1311	1997	BeachDead	NonRecruited	F	TRUE	SSB	53	5	9E	AGP97115	NA
ID_2745	1997	Recruited	Recruited	F	TRUE	SSB	113.8	26	8F	AGF02022	NA
ID_1731	1996	Recruited	Recruited	F	TRUE	SSB	100.5	11	11C	AGF99046	NA
ID_908	1996	NonRecruited	NonRecruited	F	TRUE	SSB	59.9	1	1C	AGP96003	NA
ID_916	1996	BeachDead	NonRecruited	F	TRUE	SSB	48	1	2C	AGP96011	NA
ID_1716	1995	Recruited	Recruited	F	TRUE	SSB	224.7	11	9D	AGF99031	NA
ID_1743	1994	Recruited	Recruited	F	TRUE	SSB	80.1	11	12G	AGF99058	NA
ID_2727	1993	Recruited	Recruited	F	TRUE	SSB	218.3	26	6D	AGF02004	NA
ID_1694	1992	Recruited	Recruited	F	TRUE	SSB	282.9	11	6F	AGF99009	NA
ID_1779	1991	Recruited	Recruited	F	TRUE	SSB	64.7	12	5H	AGF00036	NA
ID_1154	1990	Recruited	Recruited	F	TRUE	SSB	131.3	3	11H	AGF96003	NA
ID_2730	1989	Recruited	Recruited	F	TRUE	SSB	242.5	26	6G	AGF02007	NA
ID_1757	1988	Recruited	Recruited	F	TRUE	SSB	151.8	12	2F	AGF00014	NA
ID_1329	1987	Recruited	Recruited	F	TRUE	SSB	142.5	5	11G	AGF97012	NA
ID_1153	1986	Recruited	Recruited	F	TRUE	SSB	129.5	3	11G	AGF96002	NA
ID_1164	1985	Recruited	Recruited	F	TRUE	SSB	269.6	4	1B	AGF96013	NA
ID_1341	1984	Recruited	Recruited	F	FALSE	SSB	78.4	6	1C	AGF97024	NA
ID_1690	1983	Recruited	Recruited	F	FALSE	SSB	199.8	11	6B	AGF99004	NA
ID_51	1982	Recruited	Recruited	F	FALSE	SSB	74.9	5	12D	AGF97017	AGF94014
ID_1691	1981	Recruited	Recruited	F	FALSE	SSB	189.6	11	6C	AGF99005	NA
ID_9848	1980	Recruited	Recruited	F	FALSE	SSB	85.1	113	NA	AGF94134	AGF95134
